timestamp,processing time,predicted pt
72190,1,1.710712141
72191,5,2.577788304
72191,1,1.710712141
72191,5,2.477317874
72192,1,2.577862099
72192,1,2.577862099
72192,1,2.477317874
72192,1,1.710712141
72192,7,2.44682224
72193,14,27.53315118
72193,1,2.477317874
72193,14,27.53315118
72198,3,2.577788304
72202,2,2.577788304
72202,2,2.362591934
72202,1,2.577788304
72214,1,1.768942291
72218,21,10.72552487
72218,1,2.537477922
72219,1,2.626176496
72262,4,2.626176496
72273,1,8.015711948
72274,1,2.626176496
72276,6,2.382757815
72279,3,2.382757815
72279,1,2.537477922
72279,1,2.382757815
72279,1,2.567973555
72279,1,2.753393673
72279,3,2.753393673
72279,1,2.753393673
72293,1,2.753393673
72293,1,2.626176496
72293,1,2.626176496
72301,4,4.874502542
72306,4,2.565958813
72315,45,27.67796227
72331,2,2.626176496
72334,4,2.626176496
72355,5,4.994310396
72363,1,2.425533497
72363,5,2.736581766
72363,5,2.753393673
72375,4,2.666565179
72376,4,2.626176496
72377,4,2.753393673
72380,14,29.67556339
72380,1,2.626176496
72384,2,2.537477922
72385,2,2.567973555
72385,2,2.753393673
72389,2,2.671797631
72392,2,2.08890343
72426,8,4.994310396
72431,11,14.99354684
72433,3,2.425533497
72434,13,8.520979954
72441,2,2.626176496
72451,1,2.537477922
72451,1,1.763517455
72451,3,2.626176496
72451,4,2.537477922
72451,1,2.567973555
72451,1,2.626176496
72467,1,2.731666372
72472,1,2.567973555
72472,1,2.753393673
72480,16,7.047062005
72485,1,2.626176496
72485,2,2.567973555
72491,15,4.687313719
72491,14,4.687313719
72491,15,4.533969342
72493,29,17.48926731
72493,6,1.893769032
72493,6,1.893769032
72493,1,1.893769032
72497,1,2.626176496
72497,5,2.626176496
72497,1,2.626176496
72497,5,1.812720193
72501,7,2.567973555
72519,2,2.626176496
72522,5,2.537477922
72522,1,2.537477922
72545,1,2.626176496
72546,1,2.626176496
72547,1,2.626176496
72548,2,2.537477922
72552,2,2.410980126
72557,1,2.410980126
72558,1,2.410980126
72565,8,2.626176496
72570,7,3.688931053
72570,7,3.688931053
72572,7,3.688931053
72576,1,2.626176496
72583,1,2.08890343
72583,1,2.537477922
72585,1,2.626176496
72585,1,2.605889425
72592,1,1.800961841
72614,3,2.506368642
72615,2,2.507755872
72615,2,2.579961892
72615,4,2.506368642
72620,1,2.626906562
72624,8,32.2243541
72625,1,31.47517879
72669,8,2.565958813
72669,8,2.507755872
72672,4,2.537477922
72676,2,2.6119121
72676,2,2.322540131
72708,1,2.626176496
72724,2,2.626176496
72725,2,2.567973555
72725,2,2.753393673
72736,1,2.824918337
72736,1,2.824918337
72736,2,10.20736936
72736,3,2.824918337
72737,10,2.764700653
72737,8,2.764700653
72737,3,2.764700653
72737,2,1.902041612
72738,32,2.824918337
72738,13,2.824918337
72738,3,2.567973555
72738,3,2.626176496
72738,3,2.824918337
72738,3,2.626176496
72739,2,2.626176496
72739,32,2.558545356
72739,1,2.626176496
72739,12,2.626176496
72739,1,3.655625033
72741,1,1.763517455
72741,1,1.763517455
72742,1,2.626176496
72742,1,2.558545356
72742,1,2.626176496
72742,1,2.736581766
72744,33,14.99354684
72754,2,2.626176496
72755,2,1.763517455
72767,2,1.858125249
72770,1,2.626176496
72771,1,2.567973555
72771,1,2.626176496
72780,1,2.537477922
72782,3,2.537477922
72782,2,2.605889425
72783,4,2.537477922
72783,2,2.537477922
72783,2,2.626176496
72808,12,6.079946922
72808,38,14.99354684
72825,5,2.567973555
72826,3,2.537477922
72849,1,2.558545356
72849,1,2.558545356
72853,6,2.567973555
72853,1,2.537477922
72858,1,2.558545356
72889,3,2.626176496
72890,3,2.626176496
72899,4,3.688931053
72904,1,3.688931053
72904,2,3.688931053
72915,1,2.579961892
72915,3,2.506368642
72915,3,2.506368642
72917,1,2.506368642
72947,2,10.75496442
72947,30,21.42343189
73016,13,4.756982909
73024,1,2.300150435
73024,2,2.330646069
73024,1,2.516066187
73024,1,2.38884901
73024,1,2.38884901
73024,1,2.49925428
73024,2,2.516066187
73045,2,2.537477922
73061,1,1.643709601
73092,6,2.506368642
73092,6,2.506368642
73146,9,2.753393673
73146,9,4.994310396
73146,9,4.994310396
73195,1,1.763517455
73198,1,1.763517455
73198,1,2.626176496
73198,4,2.537477922
73201,1,1.763517455
73202,1,2.736581766
73210,1,2.567973555
73214,14,28.55199893
73222,1,2.382757815
73222,1,2.382757815
73222,1,2.567973555
73228,3,1.763517455
73228,1,1.763517455
73228,4,2.626176496
73229,4,2.626176496
73229,1,1.763517455
73231,1,1.763517455
73259,1,1.643709601
73267,2,2.55232193
73267,6,2.507755872
73267,5,2.477260238
73268,2,2.55232193
73270,3,4.567505865
73270,5,2.506368642
73270,3,4.414161488
73273,1,2.466069318
73273,1,1.76706227
73273,1,1.76706227
73273,3,2.506368642
73273,1,1.76706227
